ticket_id,priority,category,region,assignment_group,open_date,sla_percentage,status
T001,P1,Network,US-East,Network-Support,2024-01-15,45.5,Open
T002,P2,Database,US-West,DB-Support,2024-01-20,75.3,Open
T003,P3,Application,EU-Central,App-Support,2024-01-10,85.0,In Progress
T004,P1,Security,US-East,Security-Team,2024-01-22,15.2,Open
T005,P4,Infrastructure,Asia-Pacific,Infra-Support,2024-01-08,92.1,Closed
T006,P2,Billing,US-West,Finance-Support,2024-01-18,68.5,Open
T007,P3,Documentation,EU-West,Content-Team,2024-01-12,80.0,In Progress
T008,P1,Critical-Bug,US-East,Dev-Team,2024-01-23,28.3,Open
T009,P5,Enhancement,Asia-Pacific,Product-Team,2024-01-05,95.5,Closed
T010,P2,Network,EU-Central,Network-Support,2024-01-19,60.0,In Progress
T011,P3,Database,US-East,DB-Support,2024-01-14,77.8,Open
T012,P4,Application,US-West,App-Support,2024-01-09,88.2,Closed
T013,P1,Infrastructure,EU-West,Infra-Support,2024-01-21,35.4,Open
T014,P2,Security,Asia-Pacific,Security-Team,2024-01-11,70.0,In Progress
T015,P3,Billing,US-East,Finance-Support,2024-01-16,82.5,Open
T016,P5,Documentation,EU-Central,Content-Team,2024-01-06,97.0,Closed
T017,P1,Network,US-West,Network-Support,2024-01-24,42.1,Open
T018,P4,Application,US-East,App-Support,2024-01-13,91.3,Closed
T019,P2,Database,EU-West,DB-Support,2024-01-17,73.6,Open
T020,P3,Infrastructure,Asia-Pacific,Infra-Support,2024-01-07,86.4,In Progress
